Date,Water Area (km^2)
2016-03-08 08:00:00,1574.7960259737908
2016-03-09 08:00:00,1657.4512229471093
2016-03-10 08:00:00,1698.4841227613153
2016-03-11 08:00:00,1797.4403326118963
2016-03-12 08:00:00,1901.4193479677901
2016-03-13 08:00:00,1960.0393662646927
2016-03-14 08:00:00,2016.886686382977
2016-03-15 08:00:00,2053.4679653924527
2016-03-16 08:00:00,2073.8545200669973
2016-03-17 08:00:00,2074.3552103638567
2016-03-18 08:00:00,2054.114122630411
2016-03-19 08:00:00,2045.1754720277065
2016-03-20 08:00:00,2101.5523524794585
2016-03-21 08:00:00,2134.392468283593
2016-03-22 08:00:00,2234.65028749858
2016-03-23 08:00:00,2382.212462234968
2016-03-24 08:00:00,2545.7532807578677
2016-03-25 08:00:00,2689.650008301156
2016-03-26 08:00:00,2766.5012179857854
2016-03-27 08:00:00,2797.7379022053005
2016-03-28 08:00:00,2756.012011996992
2016-03-29 08:00:00,2715.7801829542673
2016-03-30 08:00:00,2671.59015534756
2016-03-31 08:00:00,2614.5624843596565
2016-04-01 08:00:00,2577.2008523787395
2016-04-02 08:00:00,2552.924410718052
2016-04-03 08:00:00,2518.4675825685176
2016-04-04 08:00:00,2480.0900377055877
2016-04-05 08:00:00,2505.1638937748103
2016-04-06 08:00:00,2617.4142084115138
2016-04-07 08:00:00,2639.069779890785
2016-04-08 08:00:00,2669.112656197787
2016-04-09 08:00:00,2709.1499065114767
2016-04-10 08:00:00,2755.1228762210617
2016-04-11 08:00:00,2828.686738232585
2016-04-12 08:00:00,2899.987476224204
2016-04-13 08:00:00,2955.868266168869
2016-04-14 08:00:00,3032.4345947293045
2016-04-15 08:00:00,3101.7524516523677
2016-04-16 08:00:00,3153.830766053441
2016-04-17 08:00:00,3227.166571431391
2016-04-18 08:00:00,3276.428365976481
2016-04-19 08:00:00,3333.7934281041657
2016-04-20 08:00:00,3391.1010654795055
2016-04-21 08:00:00,3448.3033131511775
2016-04-22 08:00:00,3504.337218241541
2016-04-23 08:00:00,3542.3686205974745
2016-04-24 08:00:00,3571.3551066591967
2016-04-25 08:00:00,3581.237610504368
2016-04-26 08:00:00,3585.0889210498094
2016-04-27 08:00:00,3600.9506911582557
2016-04-28 08:00:00,3602.542417609947
2016-04-29 08:00:00,3601.170998282578
2016-04-30 08:00:00,3594.702541030559
2016-05-01 08:00:00,3588.8564260675425
2016-05-02 08:00:00,3588.4266484435075
2016-05-03 08:00:00,3584.896134788255
2016-05-04 08:00:00,3583.693530736781
2016-05-05 08:00:00,3584.127849833099
2016-05-06 08:00:00,3591.456162546699
2016-05-07 08:00:00,3598.053903597293
2016-05-08 08:00:00,3611.8780956040723
2016-05-09 08:00:00,3636.685329477306
2016-05-10 08:00:00,3671.0637054224344
2016-05-11 08:00:00,3688.3857844863173
2016-05-12 08:00:00,3689.8914499068815
2016-05-13 08:00:00,3683.356125973979
2016-05-14 08:00:00,3677.670731893682
2016-05-15 08:00:00,3674.0453284996074
2016-05-16 08:00:00,3671.163394187877
2016-05-17 08:00:00,3664.515303497163
2016-05-18 08:00:00,3657.438324021788
2016-05-19 08:00:00,3657.210323137232
2016-05-20 08:00:00,3658.112112512652
2016-05-21 08:00:00,3671.810802083357
2016-05-22 08:00:00,3681.956637367063
2016-05-23 08:00:00,3684.2326560896554
2016-05-24 08:00:00,3680.4029000511923
2016-05-25 08:00:00,3674.6287513863954
2016-05-26 08:00:00,3670.762542878687
2016-05-27 08:00:00,3665.48547821558
2016-05-28 08:00:00,3663.3957526337977
2016-05-29 08:00:00,3662.8679647671106
2016-05-30 08:00:00,3663.2085692491655
2016-05-31 08:00:00,3661.553835946852
2016-06-01 08:00:00,3658.8988433034333
2016-06-02 08:00:00,3659.609456059063
2016-06-03 08:00:00,3669.0833752730314
2016-06-04 08:00:00,3685.510652591905
2016-06-05 08:00:00,3696.0501349219617
2016-06-06 08:00:00,3691.752524667495
2016-06-07 08:00:00,3685.2534817874625
2016-06-08 08:00:00,3677.9722478753642
2016-06-09 08:00:00,3668.9200439137953
2016-06-10 08:00:00,3659.8144802379747
2016-06-11 08:00:00,3656.839683914955
2016-06-12 08:00:00,3661.5941510659572
2016-06-13 08:00:00,3657.2634368993567
2016-06-14 08:00:00,3653.5018498651543
2016-06-15 08:00:00,3653.7628282914743
2016-06-16 08:00:00,3661.3690309698977
2016-06-17 08:00:00,3670.4504451961393
2016-06-18 08:00:00,3670.79168713242
2016-06-19 08:00:00,3672.2867998175393
2016-06-20 08:00:00,3689.816639784232
2016-06-21 08:00:00,3698.2364326598763
2016-06-22 08:00:00,3697.884249476202
2016-06-23 08:00:00,3693.3987809623345
2016-06-24 08:00:00,3686.6623957524175
2016-06-25 08:00:00,3681.001283343205
2016-06-26 08:00:00,3672.0146607467436
2016-06-27 08:00:00,3664.8992704297675
2016-06-28 08:00:00,3663.8824143172787
2016-06-29 08:00:00,3670.218933188345
2016-06-30 08:00:00,3685.708787884988
2016-07-01 08:00:00,3692.7547375393247
2016-07-02 08:00:00,3708.683245360853
2016-07-03 08:00:00,3730.753603624427
2016-07-04 08:00:00,3752.258938875547
2016-07-05 08:00:00,3772.5881452800922
2016-07-06 08:00:00,3783.66696484201
2016-07-07 08:00:00,3786.4031943605814
2016-07-08 08:00:00,3789.2223144961313
2016-07-09 08:00:00,3790.59735648762
2016-07-10 08:00:00,3792.304846122106
2016-07-11 08:00:00,3794.819886848984
2016-07-12 08:00:00,3797.2046558725992
2016-07-13 08:00:00,3793.7421071384188
2016-07-14 08:00:00,3790.6080464209326
2016-07-15 08:00:00,3789.5034340503366
2016-07-16 08:00:00,3788.2634251463905
2016-07-17 08:00:00,3791.2213837745876
2016-07-18 08:00:00,3793.263156709452
2016-07-19 08:00:00,3793.3493820738568
2016-07-20 08:00:00,3790.71738115496
2016-07-21 08:00:00,3787.4657643782766
2016-07-22 08:00:00,3784.889235406083
2016-07-23 08:00:00,3781.493942947204
2016-07-24 08:00:00,3779.936723927625
2016-07-25 08:00:00,3775.332240537276
2016-07-26 08:00:00,3770.2381639518603
2016-07-27 08:00:00,3765.5695327668905
2016-07-28 08:00:00,3761.046614309715
2016-07-29 08:00:00,3754.850363477255
2016-07-30 08:00:00,3746.437182614856
2016-07-31 08:00:00,3733.9642973819787
2016-08-01 08:00:00,3729.530792192452
2016-08-02 08:00:00,3723.6973058950816
2016-08-03 08:00:00,3718.21664999302
2016-08-04 08:00:00,3705.7810199674695
2016-08-05 08:00:00,3704.6663561482283
2016-08-06 08:00:00,3706.756672465269
2016-08-07 08:00:00,3703.225971919298
2016-08-08 08:00:00,3699.3767362196327
2016-08-09 08:00:00,3695.9832951638355
2016-08-10 08:00:00,3692.2780676223006
2016-08-11 08:00:00,3688.813716772292
2016-08-12 08:00:00,3685.7620480474206
2016-08-13 08:00:00,3681.6584732524984
2016-08-14 08:00:00,3676.432629823776
2016-08-15 08:00:00,3670.753566680082
2016-08-16 08:00:00,3662.119089492274
2016-08-17 08:00:00,3652.616466593697
2016-08-18 08:00:00,3640.782287211212
2016-08-19 08:00:00,3626.974668848403
2016-08-20 08:00:00,3615.427430829322
2016-08-21 08:00:00,3595.168463975633
2016-08-22 08:00:00,3574.2900670635186
2016-08-23 08:00:00,3551.9680466841187
2016-08-24 08:00:00,3524.0607352157267
2016-08-25 08:00:00,3506.9603519254792
2016-08-26 08:00:00,3483.98899527413
2016-08-27 08:00:00,3450.02948289184
2016-08-28 08:00:00,3420.6916795897664
2016-08-29 08:00:00,3394.1316292764177
2016-08-30 08:00:00,3359.6187388465155
2016-08-31 08:00:00,3315.7246138056325
2016-09-01 08:00:00,3273.935983914147
2016-09-02 08:00:00,3222.9775533864004
2016-09-03 08:00:00,3147.1847693532422
2016-09-04 08:00:00,3071.431082087965
2016-09-05 08:00:00,2972.511658855608
2016-09-06 08:00:00,2885.731319784898
2016-09-07 08:00:00,2776.894220479228
2016-09-08 08:00:00,2664.5791153711234
2016-09-09 08:00:00,2581.068690902587
