X,Y,Emergence days
384665.066825,3222268.8937,262
384674.4199,3216703.1186,203
384677.3734666666,3223098.3669,262
384687.2342666667,3221866.5804333333,265
384687.2902,3215937.66505,199
384690.4770333333,3221549.127633333,364
384724.9646,3212907.9714,209
384726.7802,3219841.08405,212
384735.9217,3222728.6809666664,231
384762.18359999993,3221375.1621333337,294
384763.0,3214144.125,198
384766.63095,3216316.808725,199
384777.4053666666,3222031.801333334,240
384777.455575,3217041.400775,203
384798.5957,3221711.590433333,267
384823.325725,3212643.051,211
384826.864325,3219555.198825,210
384839.6406,3222887.585233333,256
384845.953725,3216688.81045,199
384849.865275,3230065.54245,373
384858.0035666667,3230926.5021666666,267
384859.525175,3217395.59595,204
384866.289075,3219971.074825,209
384880.791775,3223334.524825,270
384906.6893,3219240.26,209
384916.754725,3217768.7823750004,205
384937.50140000007,3217048.382125,199
384951.779625,3218149.9824250005,207
384957.062225,3218884.418775,208
384958.5506,3221345.110966666,265
384966.882625,3218528.305675,208
384992.859675,3219639.987975,208
385017.1419,3221703.8450666666,265
385019.575525,3217413.787875,201
385025.7948,3222142.334025,192
385035.4366,3223750.568833334,271
385063.06795,3219286.78,207
385083.264175,3217787.3471250003,201
385086.5764333333,3223564.402966667,261
385105.3902333334,3221511.3311,247
385106.186675,3218916.2563499995,204
385118.77293333336,3221879.8268333334,265
385119.33885,3218165.9473,202
385125.64785,3218544.917075,203
385145.25,3213865.0,200
385175.818325,3231765.240375,355
385176.75,3214015.0,197
385225.5203,3213231.3039,211
385314.9246,3221477.5705,140
385344.4873,3230306.283366666,505
385368.24395,3212947.592575,212
385399.9947,3222115.2984,83
385404.3957,3221870.8154,265
385434.212925,3230853.15795,267
385469.4318333333,3221623.9682,371
385562.892875,3214059.48235,196
385593.64925,3167864.0472000004,243
385595.297625,3213910.160775,200
385595.670025,3213435.726025,210
385604.8457333333,3222164.1656333334,398
385623.8924666666,3231365.5882000006,519
385678.3093333333,3221571.614833334,371
385722.869925,3221974.159625,257
385744.66136666667,3230136.0486333333,324
385802.304325,3213213.1404250003,213
385858.057375,3221745.3785500005,265
385943.3940250001,3213658.2208,208
385954.142875,3214240.85735,195
385965.0100666666,3222122.203933333,373
386006.6692333333,3234796.4990666662,220
386017.047625,3214080.285775,197
386056.76426666667,3230340.0294,457
386062.6892,3235189.543,258
386077.8922,3231427.372466667,348
386092.338525,3221956.1856750003,263
386113.996825,3221602.310125,266
386130.955875,3230770.3936,262
386167.3861,3213518.34885,213
386170.25,3215056.0,209
386209.14783333335,3221789.178133333,266
386228.58115,3215673.4949,210
386233.875,3214626.875,209
