X,Y,Emergence days
373586.823525,3223874.86715,126
373604.409175,3202232.6751000006,163
373650.410525,3225129.951975,98
373690.781675,3224542.1001,129
373702.826125,3222546.6582,161
373815.297075,3222714.729675,139
373825.380675,3225220.205075,110
373907.13385,3224495.852125,121
373991.528775,3202593.796025,318
374095.610975,3202379.0461500003,163
374423.169775,3222352.1561,140
374466.418125,3202773.901375,169
374472.140725,3222547.227575,139
374593.204925,3202566.4418,162
374900.6702749999,3203027.0786,153
375028.5658,3222180.65735,144
375050.59905,3202809.8932000003,162
375096.5658,3222393.40735,142
375304.7981,3203294.4444500003,152
375446.697225,3203042.54035,193
375644.556575,3221999.305975,149
375694.556575,3222230.3059750004,148
375738.30845,3203469.6572750006,156
375841.565175,3203221.3572,164
376214.25275,3203547.10515,192
376218.4064,3221750.805325,153
376284.86285,3203340.795125,161
376311.2781,3221955.627725,155
376670.4582,3221411.095775,158
376679.3129500001,3203719.6415,159
376777.70275,3203556.114825,163
376851.7154,3221570.286575,160
377041.68105,3204090.68525,156
377049.7904,3220982.907775,163
377229.140425,3203961.88455,159
377246.796675,3221136.6163,167
377285.428125,3204547.0209,160
377409.9182,3220448.789825,170
377500.130275,3205005.588075,157
377526.70635,3204436.2883,157
377639.288975,3220585.1299500004,171
377718.84325,3205453.766425,157
377729.548925,3219900.944525,173
377750.068025,3204906.8973250003,156
377953.571325,3205877.606525,157
378000.298925,3220010.444525,173
378001.095575,3205338.48025,158
378069.147025,3219318.860675,174
378260.026425,3206254.7119500004,160
378269.485,3205714.0432,156
378341.147025,3219449.110675,180
378467.6268,3218749.8968,182
378581.207725,3206066.3259500004,159
378624.7513,3206592.7972500003,166
378723.6268,3218927.1468,182
378872.7092,3218239.58725,184
378927.3388,3206419.72255,160
378995.90285,3206939.133825,160
379164.9592,3218407.08725,186
379251.536825,3217712.164675,186
379294.76209999993,3206797.371775,161
379301.9135,3207335.69,163
379499.290825,3216375.84315,179
379503.565825,3216728.69315,180
379516.55995,3217260.722325,188
379522.58045,3207778.3172750003,162
379589.86245,3207220.521425,161
379610.536825,3217850.664675,183
379657.375,3216079.1250000005,179
379687.35,3216957.875,181
379695.330275,3216389.347725,176
379702.605275,3216606.9227250004,177
379732.95275,3208231.028875,165
379801.3000000001,3216206.7,179
379803.8077,3207664.327475,161
379833.55,3216749.575,179
379896.93495,3217393.497325,181
379962.2093,3208675.8443,164
379986.3000000001,3215963.625,179
380016.725,3217052.675,178
380018.860625,3208116.190925,174
380064.175,3216796.15,179
380083.1,3216119.0,175
380168.704,3209130.221975,160
380251.90705,3208563.055975,158
380397.0906,3215910.3424,175
380404.28915,3209601.156225,164
380420.730025,3216728.300525,179
380435.432375,3216959.29095,178
380490.375,3216067.55,172
380499.09985,3209003.89645,161
380741.8998,3210036.8919,166
380757.25092500006,3209463.2266,162
380845.176825,3215861.324825,175
380906.65532500006,3216671.080425,179
380919.59405,3216846.03795,174
380943.15,3216024.6500000004,174
381038.34125,3209910.589775,162
381067.13765,3210432.990375,166
381297.579325,3210790.8656,165
381304.0536,3210333.4830750003,162
381369.4617,3215805.973025,174
381392.09655,3216923.826925,176
381403.57435,3216736.30965,177
381451.550475,3215966.8906,175
381511.579475,3211172.6864,179
381514.396425,3210716.3810249995,160
381621.905675,3222289.8685250003,558
381712.666725,3211114.85875,159
381722.41515,3211629.1036,137
381830.39415,3215644.696625,172
381842.188125,3217109.7915000003,172
381873.715175,3216905.00595,178
381891.902125,3212092.27125,162
381913.58655,3211584.955925,158
381927.96915,3215783.896625,173
381951.736725,3222201.0936,526
382076.3627750001,3212038.365375,158
382080.2367,3212520.3871750003,165
382147.82595,3215376.629875,175
382214.16383333335,3222134.9463,278
382245.7618,3217406.903125,168
382262.8623,3212404.7287250003,158
382306.316125,3217231.3512000004,175
382325.123125,3215467.060275,174
382349.3813666666,3222299.4016333334,178
382356.760175,3221901.386975,223
382373.006475,3212837.243325,163
382437.163875,3215040.6410250003,174
382497.0489,3212656.09255,159
382557.13145,3222148.715375,147
382586.937225,3217784.54455,165
382594.366375,3221700.29015,225
382661.620725,3215113.190375,170
382677.75,3217633.75,172
382710.421075,3214667.381375,173
382720.7693666667,3221880.6791,214
382730.6556,3222027.474533333,226
382747.129675,3212975.3473500004,160
