X,Y,Emergence days
381913.58655,3211584.955925,401
381927.96915,3215783.896625,432
381951.736725,3222201.0936,15
382076.3627750001,3212038.365375,401
382080.2367,3212520.3871750003,398
382147.82595,3215376.629875,433
382214.16383333335,3222134.9463,147
382245.7618,3217406.903125,421
382262.8623,3212404.7287250003,398
382306.316125,3217231.3512000004,430
382325.123125,3215467.060275,425
382349.3813666666,3222299.4016333334,21
382356.760175,3221901.386975,363
382373.006475,3212837.243325,400
382437.163875,3215040.6410250003,429
382497.0489,3212656.09255,398
382557.13145,3222148.715375,428
382586.937225,3217784.54455,418
382594.366375,3221700.29015,373
382661.620725,3215113.190375,421
382677.75,3217633.75,429
382710.421075,3214667.381375,426
382720.7693666667,3221880.6791,378
382730.6556,3222027.474533333,372
382747.129675,3212975.3473500004,397
382787.225275,3212752.41695,399
382820.7562,3221551.5604,375
382848.259525,3218151.787525,415
382850.8238333333,3221353.6843666662,373
382857.74703333335,3229875.5505333333,348
382919.3878,3221830.9777666666,378
382934.4434,3214746.1472250004,421
382948.3997,3222066.5279000006,365
382958.27725,3214277.175275,422
382968.8392666667,3221663.5625,375
382974.83085,3218037.559525,423
383002.17992500006,3222241.641375,451
383030.83085,3218579.809525,414
383037.0546,3221260.2100333334,378
383051.32543333335,3221052.568833334,380
383054.6947666667,3221936.6117,374
383064.2281,3222449.145433333,496
383065.5237333333,3230216.7216,300
383087.6864,3213045.1220000004,408
383101.89155000006,3213396.9322500005,410
383110.013425,3213849.37415,415
383111.5705,3212788.077825,404
383164.0765,3221595.823033333,368
383168.626275,3214354.1148499995,415
383171.5,3219074.5,410
383196.0,3212440.0,405
383202.2242,3221390.3466,377
383204.08085,3218503.809525,419
383275.6761,3220878.9368,422
383286.310175,3219532.7179,408
383288.9349666666,3222187.258533334,490
383290.18845,3221811.876725,373
383310.4586,3213924.579475,413
383337.838625,3222417.570075,718
383345.0,3218981.75,417
383347.351675,3213472.94655,409
383355.67265,3213126.2583500003,407
383379.005425,3212872.412525,406
383397.7646333333,3222043.795433333,371
383400.0697666667,3221315.432733333,369
383433.560175,3219430.4679,412
383442.1249666666,3221101.3034666665,421
383442.8425,3219990.363275,408
383455.124,3230338.5092333336,274
383456.0,3212606.75,406
383513.8851333333,3221664.1804333334,372
383518.763875,3220605.781575,547
383548.08423333336,3221453.416966667,371
383585.310175,3219869.7179,410
383588.9246333333,3230729.1571333334,8
383604.1678,3222377.7447333336,326
383619.0,3212200.5,402
383649.009925,3231890.136175,4
383654.5538,3221031.3027333333,667
383686.5345,3231451.3184333337,19
383691.9158333333,3221742.5560000003,367
383693.5305,3221982.98295,368
383717.2599666666,3230033.149966667,302
383717.9366666667,3220819.1064666663,731
383726.7287666667,3222222.370933333,345
383732.25,3212447.5,401
383745.1267333333,3221404.604766667,326
383793.5556333333,3233037.146466667,385
383828.8201666667,3220430.3755,719
383882.995025,3220262.638325,404
383894.539525,3221174.944275,591
383917.2901,3221586.4924000003,323
383948.4627,3220121.24295,411
384012.735975,3222245.5676,462
