X,Y,Emergence days
381067.13765,3210432.990375,430
381297.579325,3210790.8656,425
381304.0536,3210333.4830750003,431
381369.4617,3215805.973025,443
381392.09655,3216923.826925,443
381403.57435,3216736.30965,447
381451.550475,3215966.8906,440
381511.579475,3211172.6864,477
381514.396425,3210716.3810249995,431
381621.905675,3222289.8685250003,6
381712.666725,3211114.85875,433
381722.41515,3211629.1036,513
381830.39415,3215644.696625,441
381842.188125,3217109.7915000003,437
381873.715175,3216905.00595,442
381891.902125,3212092.27125,431
381913.58655,3211584.955925,428
381927.96915,3215783.896625,440
381951.736725,3222201.0936,5
382076.3627750001,3212038.365375,429
382080.2367,3212520.3871750003,426
382147.82595,3215376.629875,440
382214.16383333335,3222134.9463,127
382245.7618,3217406.903125,436
382262.8623,3212404.7287250003,429
382306.316125,3217231.3512000004,439
382325.123125,3215467.060275,440
382349.3813666666,3222299.4016333334,12
382356.760175,3221901.386975,333
382373.006475,3212837.243325,422
382437.163875,3215040.6410250003,437
382497.0489,3212656.09255,429
382557.13145,3222148.715375,641
382586.937225,3217784.54455,436
382594.366375,3221700.29015,336
382661.620725,3215113.190375,438
382677.75,3217633.75,437
382710.421075,3214667.381375,435
382717.3554333334,3222320.375733333,162
382720.7693666667,3221880.6791,345
382730.6556,3222027.474533333,333
382747.129675,3212975.3473500004,423
382787.225275,3212752.41695,431
382820.7562,3221551.5604,347
382848.259525,3218151.787525,435
382850.8238333333,3221353.6843666662,348
382857.74703333335,3229875.5505333333,305
382919.3878,3221830.9777666666,349
382934.4434,3214746.1472250004,437
382948.3997,3222066.5279000006,324
382958.27725,3214277.175275,435
382968.8392666667,3221663.5625,355
382974.83085,3218037.559525,436
383002.17992500006,3222241.641375,423
383030.83085,3218579.809525,436
383037.0546,3221260.2100333334,354
383051.32543333335,3221052.568833334,353
383054.6947666667,3221936.6117,343
383064.2281,3222449.145433333,496
383065.5237333333,3230216.7216,394
383087.6864,3213045.1220000004,431
383101.89155000006,3213396.9322500005,436
383110.013425,3213849.37415,436
383111.5705,3212788.077825,432
383164.0765,3221595.823033333,342
383168.626275,3214354.1148499995,436
383171.5,3219074.5,434
383196.0,3212440.0,432
383202.2242,3221390.3466,355
383204.08085,3218503.809525,435
383275.6761,3220878.9368,364
383286.310175,3219532.7179,435
383288.9349666666,3222187.258533334,650
383290.18845,3221811.876725,332
383310.4586,3213924.579475,434
383337.838625,3222417.570075,752
383345.0,3218981.75,437
383347.351675,3213472.94655,434
383355.67265,3213126.2583500003,438
383379.005425,3212872.412525,431
383397.7646333333,3222043.795433333,340
383400.0697666667,3221315.432733333,337
383433.560175,3219430.4679,435
383442.1249666666,3221101.3034666665,372
383442.8425,3219990.363275,434
383455.124,3230338.5092333336,232
383456.0,3212606.75,430
383513.8851333333,3221664.1804333334,334
383518.763875,3220605.781575,558
383548.08423333336,3221453.416966667,333
383585.310175,3219869.7179,434
383588.9246333333,3230729.1571333334,276
383604.1678,3222377.7447333336,485
383619.0,3212200.5,433
383649.009925,3231890.136175,1
383654.5538,3221031.3027333333,678
383686.5345,3231451.3184333337,13
383691.9158333333,3221742.5560000003,339
383693.5305,3221982.98295,342
383717.2599666666,3230033.149966667,246
383717.9366666667,3220819.1064666663,731
383726.7287666667,3222222.370933333,688
383732.25,3212447.5,430
383745.1267333333,3221404.604766667,358
383793.5556333333,3233037.146466667,296
383828.8201666667,3220430.3755,760
383882.995025,3220262.638325,434
383894.539525,3221174.944275,233
383917.2901,3221586.4924000003,445
383948.4627,3220121.24295,435
384012.735975,3222245.5676,140
384039.308675,3220666.4738,473
384050.875775,3221956.19285,342
384065.9304333334,3230161.3510333337,427
384065.9635333333,3231215.461233333,161
384085.0853666666,3221743.3585,390
384094.52175,3230702.5598250004,502
384095.4794333333,3220933.4226333336,540
384127.2083333333,3221288.0043,214
384127.5284,3221454.296266667,195
384156.9365333333,3232876.9370000004,259
384177.125,3214709.375,433
384178.5,3212551.5,431
384184.9326666666,3232493.2127666664,133
384223.3879333334,3231832.802,146
384229.5,3212316.5,434
384246.3860333334,3221685.656200001,200
384269.8172666666,3221523.7817333336,36
384283.7970333334,3220975.4082333334,208
384285.128675,3215139.625225,433
384290.0040333333,3221187.9436333333,213
384298.0,3214327.75,431
384325.14017500007,3222363.079025,597
384335.7790666666,3221991.7016000003,349
384337.2562666666,3229886.3769666664,21
384351.375,3214707.125,429
384414.0395666666,3221451.2374333334,36
384422.413425,3215564.3105999995,435
384432.4006666667,3222144.7248333334,348
384434.5464000001,3221281.6913000005,195
384435.712,3221792.3418000005,355
384436.15210000006,3220069.349225,436
384453.3125333334,3220916.4324666667,300
384455.0,3214401.25,428
384463.011825,3220632.1368,390
384472.376225,3215098.54175,428
384491.657725,3215952.808625,436
384500.4627,3220212.74295,433
384516.8231666667,3221567.7911999994,253
384535.7266333333,3223570.006766666,298
384550.6968,3222493.5164,336
384555.8691666666,3222708.749533333,300
384559.513375,3231428.802775,313
384576.7762,3216330.711225,437
384588.0,3220357.6666666665,374
384593.253725,3232228.392475,28
384596.5513,3230588.0029666666,319
384615.804475,3215535.436875,430
384621.29775,3221151.457275,210
384660.0,3214014.375,429
384665.066825,3222268.8937,439
384674.4199,3216703.1186,435
384677.3734666666,3223098.3669,303
384687.2342666667,3221866.5804333333,348
384687.2902,3215937.66505,433
384690.4770333333,3221549.127633333,314
384724.9646,3212907.9714,436
384726.7802,3219841.08405,436
384735.9217,3222728.6809666664,350
384762.18359999993,3221375.1621333337,396
384763.0,3214144.125,429
384766.63095,3216316.808725,432
384777.4053666666,3222031.801333334,510
384777.455575,3217041.400775,433
384798.5957,3221711.590433333,350
384823.325725,3212643.051,436
384826.864325,3219555.198825,434
384839.6406,3222887.585233333,202
384845.953725,3216688.81045,432
384849.865275,3230065.54245,329
384858.0035666667,3230926.5021666666,306
384859.525175,3217395.59595,432
384866.289075,3219971.074825,433
384880.791775,3223334.524825,286
384906.6893,3219240.26,435
384916.754725,3217768.7823750004,432
384920.881675,3222462.9828,5
384937.50140000007,3217048.382125,434
384951.779625,3218149.9824250005,434
384957.062225,3218884.418775,436
384958.5506,3221345.110966666,348
384966.882625,3218528.305675,436
384992.859675,3219639.987975,434
385017.1419,3221703.8450666666,349
385019.575525,3217413.787875,434
385025.7948,3222142.334025,455
385035.4366,3223750.568833334,303
385063.06795,3219286.78,435
385083.264175,3217787.3471250003,433
385086.5764333333,3223564.402966667,298
385105.3902333334,3221511.3311,335
385106.186675,3218916.2563499995,433
385118.77293333336,3221879.8268333334,347
385119.33885,3218165.9473,432
385125.64785,3218544.917075,432
385145.25,3213865.0,429
385175.818325,3231765.240375,208
385176.75,3214015.0,428
385225.5203,3213231.3039,437
385266.3241666667,3222258.2407000004,487
385314.9246,3221477.5705,314
385344.4873,3230306.283366666,224
385368.24395,3212947.592575,436
385399.9947,3222115.2984,578
385404.3957,3221870.8154,336
385434.212925,3230853.15795,306
385469.4318333333,3221623.9682,114
385562.892875,3214059.48235,429
385593.64925,3167864.0472000004,358
385595.297625,3213910.160775,428
385595.670025,3213435.726025,437
385604.8457333333,3222164.1656333334,147
385623.8924666666,3231365.5882000006,234
385678.3093333333,3221571.614833334,165
385722.869925,3221974.159625,324
385802.304325,3213213.1404250003,433
385858.057375,3221745.3785500005,321
